>VIRSorter_short2-ContigCoA-KX349310_51|4|l
VIRSorter_short2-ContigCoA-KX349310_46-gene_2|491|709|218|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_46-gene_3|740|997|257|+|Phage_cluster_1105|114.1|7.7e-36|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_46-gene_4|1223|1426|203|+|Phage_cluster_1203|122.9|1.9e-38|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_46-gene_5|1613|1831|218|+|Phage_cluster_875|146.4|8.3e-46|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_46-gene_6|1839|2009|170|+|Phage_cluster_787|108.0|7.8e-34|1|Pfam-B_13903|60.2|1.1e-18
VIRSorter_short2-ContigCoA-KX349310_46-gene_7|1990|2229|239|+|Phage_cluster_1101|123.5|1.1e-38|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_46-gene_8|2279|4771|2492|+|Phage_cluster_874|994.1|2.5e-301|1|-|-|-
>VIRSorter_short2-ContigCoA-KX349310_28|6|l
VIRSorter_short2-ContigCoA-KX349310_28-gene_1|2|772|770|+|Phage_cluster_8583|503.2|1.3e-153|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_28-gene_2|781|1887|1106|+|Phage_cluster_3978|555.8|2.1e-169|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_28-gene_3|1913|3307|1394|+|Phage_cluster_2461|814.6|1.2e-247|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_28-gene_4|3307|4062|755|+|Phage_cluster_2197|394.3|9.7e-121|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_28-gene_5|4004|4876|872|+|Phage_cluster_2198|445.3|2.3e-136|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_28-gene_6|4818|5000|182|+|Phage_cluster_2814|92.7|1e-28|1|-|-|-
>VIRSorter_short2-ContigCoA-KX349310_43|17|l
VIRSorter_short2-ContigCoA-KX349310_43-gene_1|340|546|206|+|Phage_cluster_4127|161.9|1.5e-50|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_2|588|824|236|+|Phage_cluster_876|123.7|1.2e-38|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_3|916|1188|272|+|Phage_cluster_1608|184.9|9.2e-58|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_4|1176|1391|215|+|Phage_cluster_1852|114.2|7.3e-36|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_5|1434|1724|290|+|Phage_cluster_3352|180.8|2e-56|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_6|1721|1855|134|+|Phage_cluster_6648|100.1|1.8e-31|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_7|1852|2055|203|+|Phage_cluster_2223|134.3|5.1e-42|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_8|2055|2231|176|+|Phage_cluster_6657|139.0|1.3e-43|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_9|2206|2535|329|+|Phage_cluster_1106|103.9|1.3e-32|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_10|2486|2767|281|+|Phage_cluster_1614|147.3|4.9e-46|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_11|2823|2954|131|+|gi_326783368_ref_YP_004323686.1_|78.6|1.28e-22|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_12|3073|3420|347|+|Phage_cluster_444|173.2|5.8e-54|1|Pfam-B_1247|188.9|7.2e-58
VIRSorter_short2-ContigCoA-KX349310_43-gene_13|3491|3709|218|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_14|3740|3997|257|+|Phage_cluster_1105|114.1|7.7e-36|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_15|4223|4426|203|+|Phage_cluster_1203|122.9|1.9e-38|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_16|4613|4831|218|+|Phage_cluster_875|146.4|8.3e-46|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_43-gene_17|4839|5000|161|+|Phage_cluster_787|108.2|6.9e-34|1|Pfam-B_13903|59.1|2.3e-18
>VIRSorter_short2-ContigCoA-KX349310_48|4|l
VIRSorter_short2-ContigCoA-KX349310_48-gene_1|2|229|227|+|Phage_cluster_1101|120.6|8.7e-38|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_48-gene_2|279|2771|2492|+|Phage_cluster_874|994.1|2.5e-301|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_48-gene_3|3508|3927|419|+|Phage_cluster_35|174.7|2.8e-54|1|GPW_gp25|58.6|1.8e-18
VIRSorter_short2-ContigCoA-KX349310_48-gene_4|3927|5000|1073|+|Phage_cluster_112|561.5|9.6e-171|1|-|-|-
>VIRSorter_short2-ContigCoA-KX349310_30|5|l
VIRSorter_short2-ContigCoA-KX349310_30-gene_1|3|1307|1304|+|Phage_cluster_2461|759.5|6.5e-231|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_30-gene_2|1307|2062|755|+|Phage_cluster_2197|394.3|9.7e-121|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_30-gene_3|2004|2876|872|+|Phage_cluster_2198|445.3|2.3e-136|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_30-gene_4|2818|4542|1724|+|Phage_cluster_2814|1129.1|0|1|Pfam-B_13903|214.7|1.2e-65
VIRSorter_short2-ContigCoA-KX349310_30-gene_5|4539|5000|461|+|Phage_cluster_364|177.0|1.4e-54|1|Pfam-B_13881|45.7|3e-14
